"crop","collectiondate","genotype","augmented.","modelname","IoU","Dice","Precision","Recall","F1","MAE","Hausdorff","PixelAccuracy"
"sorghum",1,13,"yes","SegFormer",0.8976082,0.9460417,0.901119804751992,0.995677347715736,0.946041674516749,0.010925293,15.8113883008419,0.98907470703125
"sorghum",1,13,"yes","SegFormer",0.8778314,0.93494165,0.881003332748641,0.995915291878173,0.934941642932931,0.013332367,19.7989898732233,0.986667633056641
"sorghum",1,13,"yes","SegFormer",0.8685714,0.9296636,0.877375756722512,0.988578680203046,0.929663608562691,0.014389038,20.2484567313166,0.985610961914062
"sorghum",1,13,"no","SegFormer",0.9520912,0.9754577,0.991939884975442,0.959514334443271,0.975457716680083,0.004535675,8,0.995464324951172
"sorghum",1,13,"yes","SegFormer",0.9522106,0.9755204,0.989392357485905,0.96203199870056,0.975520372238579,0.004535675,7.61577310586391,0.995464324951172
"sorghum",1,13,"yes","SegFormer",0.9545983,0.9767719,0.987265637962502,0.966498822382847,0.976771863585997,0.0043182373,7,0.995681762695312
"sorghum",1,13,"yes","SegFormer",0.9519987,0.97540915,0.993057308760414,0.958377324778689,0.975409158538601,0.0045394897,8,0.995460510253906
"sorghum",1,13,"yes","SegFormer",0.95186734,0.9753402,0.990701181201307,0.960448306667749,0.975340206185567,0.004562378,8.94427190999916,0.995437622070312
"sorghum",1,13,"yes","SegFormer",0.94833523,0.9734826,0.984953655596658,0.962275643628685,0.973482592174181,0.004924774,8,0.995075225830078
"sorghum",1,15,"no","SegFormer",0.78972626,0.88251066,0.993133602241586,0.794061892217928,0.882510670898544,0.03276062,26.3058928759318,0.967239379882812
"sorghum",1,15,"no","SegFormer",0.8521958,0.9202006,0.93955223880597,0.901629952161334,0.920200558406058,0.020824432,23.3452350598575,0.979175567626953
"sorghum",1,15,"yes","SegFormer",0.8738957,0.93270475,0.916682802688722,0.949296742960268,0.932704756543766,0.018241882,22.2036033111745,0.981758117675781
"sorghum",1,15,"yes","SegFormer",0.8786856,0.93542594,0.938650129795212,0.932223781832765,0.93542591873985,0.017139435,23.7065391822594,0.982860565185547
"sorghum",1,15,"yes","SegFormer",0.86746794,0.92903113,0.921632745109094,0.936549313930505,0.929031158092153,0.019054413,24.0416305603426,0.980945587158203
"sorghum",1,15,"yes","SegFormer",0.86034936,0.9249331,0.934299742810381,0.915752384771835,0.924933092224231,0.019794464,23.3452350598575,0.980205535888672
"sorghum",1,15,"yes","SegFormer",0.87450916,0.93305403,0.947891112227707,0.918674267380905,0.933054028105089,0.017555237,21.540659228538,0.982444763183594
"sorghum",1,15,"yes","SegFormer",0.7961844,0.8865286,0.996649864765183,0.798320982791305,0.886528603649785,0.031665802,19.1049731745428,0.968334197998047
"sorghum",1,15,"yes","SegFormer",0.7794535,0.8760594,0.992982127818845,0.783771141583988,0.876059438635113,0.034362793,19.4164878389476,0.96563720703125
"sorghum",1,15,"yes","SegFormer",0.7890376,0.8820805,0.987434043980846,0.797040793717226,0.882080483884151,0.03302002,73.109506905737,0.96697998046875
"sorghum",1,15,"yes","SegFormer",0.76663315,0.86790305,0.994971195773258,0.769615204707157,0.867903051167439,0.03630066,25.3179778023443,0.963699340820312
"sorghum",1,15,"yes","SegFormer",0.7521026,0.8585143,0.994681713525959,0.755139220561806,0.858514330497089,0.03856659,30.8058436014987,0.961433410644531
"sorghum",1,15,"no","SegFormer",0.8421841,0.9143322,0.985918308420141,0.852437923684059,0.914332207299992,0.03173065,22.2036033111745,0.968269348144531
"sorghum",1,15,"yes","SegFormer",0.899574,0.94713235,0.915201117518536,0.981372304265166,0.947132359073681,0.021762848,20.0997512422418,0.978237152099609
"sorghum",1,15,"yes","SegFormer",0.83796763,0.9118416,0.986283620766688,0.847848213085476,0.911841548168572,0.03256607,20,0.967433929443359
"sorghum",1,15,"yes","SegFormer",0.84975946,0.9187783,0.993238116491854,0.854703973268296,0.918778320241941,0.030017853,25,0.969982147216797
"sorghum",1,15,"yes","SegFormer",0.863796,0.9269212,0.980731310013717,0.878708735813185,0.926921168045863,0.02752304,32.1403173599764,0.972476959228516
"sorghum",1,15,"yes","SegFormer",0.8032195,0.89087266,0.987291798070409,0.811610623547712,0.890872681281619,0.039497375,35.8468966578698,0.960502624511719
"sorghum",1,16,"no","SegFormer",0.9621621,0.9807162,0.974121158314286,0.987401152660501,0.980716201053572,0.007736206,5.3851648071345,0.992263793945312
"sorghum",1,16,"no","SegFormer",0.9508225,0.9747914,0.956757571191803,0.993518104604381,0.974791390256472,0.008769989,8,0.991230010986328
"sorghum",1,16,"yes","SegFormer",0.9509587,0.974863,0.958226290451415,0.992087617344658,0.974863003920449,0.008731842,7.81024967590665,0.991268157958984
"sorghum",1,16,"yes","SegFormer",0.95126754,0.97502524,0.957665114674944,0.993026374608851,0.975025238116139,0.008682251,8,0.991317749023438
"sorghum",1,16,"yes","SegFormer",0.94651,0.97252005,0.953482378712712,0.992333482342423,0.972520070534375,0.009571075,8.60232526704263,0.990428924560547
"sorghum",1,16,"yes","SegFormer",0.94966227,0.9741813,0.961954153229321,0.986723290120697,0.974181304616471,0.008926392,10.4403065089106,0.991073608398438
"sorghum",1,16,"yes","SegFormer",0.9472441,0.9729074,0.951882979405915,0.994881537773804,0.972907399919127,0.0094566345,8,0.990543365478516
"sorghum",1,16,"yes","SegFormer",0.96083146,0.9800245,0.980268577230321,0.979780573266701,0.980024514498027,0.0079574585,5.8309518948453,0.992042541503906
"sorghum",1,16,"yes","SegFormer",0.9565709,0.97780347,0.984003257518469,0.971681314262738,0.977803468208092,0.0087890625,9.8488578017961,0.9912109375
"sorghum",1,16,"yes","SegFormer",0.9553343,0.977157,0.98255768932941,0.971815344553583,0.977156993925859,0.009052277,9.21954445729289,0.990947723388672
"sorghum",1,16,"yes","SegFormer",0.9510632,0.9749179,0.98398767382443,0.966013747678404,0.974917874396135,0.009902954,7.81024967590665,0.990097045898438
"sorghum",1,16,"yes","SegFormer",0.9375757,0.96778226,0.987933544745607,0.948436632393207,0.96778227145732,0.012580872,14.8660687473185,0.987419128417969
"sorghum",1,16,"no","SegFormer",0.8882183,0.9408004,0.891271307316389,0.996158268868911,0.940800434401649,0.018299103,14.8660687473185,0.981700897216797
"sorghum",1,16,"yes","SegFormer",0.7387871,0.84977293,0.738787094781148,1,0.849772921594102,0.05160904,19.2353840616713,0.948390960693359
