crop,collectiondate,genotype,individual_id,augmented?,modelname,IoU,Dice,Precision,Recall,F1,MAE,Hausdorff,PixelAccuracy
wheat,1,13,10,yes,U-NET,0.89967835,0.94719017,0.9484951250529886,0.9458888184316212,0.9471901788549053,0.0019035339,14.212670403551895,0.9980964660644531
wheat,1,13,10,yes,U-NET,0.90085334,0.9478409,0.9587027027027027,0.9372225745085606,0.9478409576742197,0.0018615723,13.601470508735444,0.998138427734375
wheat,1,13,10,yes,U-NET,0.9163095,0.9563272,0.9639252737814044,0.948848023673642,0.9563272262462719,0.0015640259,8.602325267042627,0.9984359741210938
wheat,1,13,10,yes,U-NET,0.90868866,0.9521602,0.9493591090565244,0.9549778059606848,0.9521601685985248,0.0017318726,14.212670403551895,0.9982681274414062
wheat,1,13,1,yes,U-NET,0.9261041,0.9616345,0.9620658721004742,0.9612035851472471,0.9616345353231281,0.0022850037,5.385164807134504,0.9977149963378906
wheat,1,13,1,yes,U-NET,0.91331196,0.9546921,0.9625195210827694,0.9469910371318822,0.9546921388924745,0.0026779175,5.0,0.9973220825195312
wheat,1,13,1,yes,U-NET,0.89741355,0.9459335,0.9688548798496442,0.9240717029449423,0.9459335474146405,0.0031471252,9.433981132056603,0.9968528747558594
wheat,1,13,1,yes,U-NET,0.9193905,0.95800257,0.9580025608194622,0.9580025608194622,0.9580025608194622,0.0025024414,5.0,0.99749755859375
wheat,1,13,1,yes,U-NET,0.9162189,0.9562779,0.9520304568527919,0.9605633802816902,0.9562778840025494,0.0026168823,4.0,0.9973831176757812
wheat,1,13,5,no,U-NET,0.90226954,0.9486243,0.9449430026679603,0.9523343925690541,0.9486242999756513,0.0016098022,6.0,0.9983901977539062
wheat,1,13,5,yes,U-NET,0.900641,0.94772345,0.9342199002612206,0.9616230750427768,0.9477234401349073,0.0016555786,6.082762530298219,0.9983444213867188
wheat,1,13,5,yes,U-NET,0.90291935,0.9489833,0.9454148471615721,0.9525788315815205,0.9489833191282113,0.0015983582,5.0,0.9984016418457031
wheat,1,13,5,yes,U-NET,0.87856174,0.9353557,0.9214895635673624,0.9496455634319237,0.9353557240881184,0.0020484924,8.246211251235321,0.9979515075683594
wheat,1,13,5,yes,U-NET,0.8999538,0.9473428,0.9426427879961278,0.9520899535565877,0.9473428189225344,0.0016517639,5.0,0.9983482360839844
wheat,1,13,5,yes,U-NET,0.8880841,0.94072515,0.9526315789473684,0.929112686384747,0.9407251577775028,0.00182724,9.055385138137417,0.9981727600097656
wheat,1,14,1,no,U-NET,0.9133261,0.9546999,0.9452186448822681,0.9643732636051643,0.9546998867497168,0.0021362305,4.47213595499958,0.99786376953125
wheat,1,14,10,no,U-NET,0.918,0.95724714,0.9531060737151756,0.9614243323442137,0.9572471324296142,0.001876831,7.615773105863909,0.9981231689453125
wheat,1,14,10,yes,U-NET,0.91687447,0.9566349,0.9506981554904327,0.9626461860708675,0.9566348655680833,0.0019073486,9.486832980505138,0.9980926513671875
wheat,1,14,10,yes,U-NET,0.91766465,0.9570648,0.9512068965517242,0.9629952871356258,0.9570647931303669,0.0018882751,7.810249675906654,0.9981117248535156
wheat,1,14,10,yes,U-NET,0.9165969,0.9564837,0.957655293088364,0.9553150637109443,0.9564837469416289,0.0018997192,7.615773105863909,0.9981002807617188
wheat,1,14,10,yes,U-NET,0.91673607,0.95655954,0.9522573949143747,0.9609006807470762,0.9565595134665508,0.0019073486,6.4031242374328485,0.9980926513671875
wheat,1,14,10,yes,U-NET,0.9145299,0.95535713,0.9582089552238806,0.9525222551928784,0.9553571428571429,0.0019454956,7.615773105863909,0.9980545043945312
wheat,1,14,1,yes,U-NET,0.9093991,0.95255005,0.9408576438705564,0.9645366890014708,0.9525500322788896,0.002243042,8.48528137423857,0.9977569580078125
wheat,1,14,1,yes,U-NET,0.9052615,0.95027536,0.9418847327018783,0.9588168001307403,0.9502753482345319,0.0023422241,8.48528137423857,0.9976577758789062
wheat,1,14,1,yes,U-NET,0.9068519,0.95115083,0.9639201208256419,0.9387154763850303,0.9511508527901971,0.0022506714,9.055385138137417,0.9977493286132812
wheat,1,14,1,yes,U-NET,0.9124189,0.954204,0.9433088470137336,0.9653538159830037,0.9542040222922219,0.0021629333,6.324555320336759,0.9978370666503906
wheat,1,14,1,yes,U-NET,0.8081021,0.89386773,0.8502949852507374,0.9421474097074686,0.893867741685402,0.0052223206,174.64249196572982,0.9947776794433594
wheat,1,14,5,no,U-NET,0.9224391,0.9596549,0.9693229261208931,0.9501779359430605,0.9596549555216102,0.0017127991,2.8284271247461903,0.9982872009277344
wheat,1,14,5,yes,U-NET,0.918251,0.9573836,0.9697025004562877,0.945373665480427,0.9573835480673935,0.0018043518,4.123105625617661,0.9981956481933594
wheat,1,14,5,yes,U-NET,0.9231429,0.9600357,0.9626118067978533,0.9574733096085409,0.960035682426405,0.0017089844,2.23606797749979,0.998291015625
wheat,1,14,5,yes,U-NET,0.9163492,0.95634884,0.9717171717171718,0.9414590747330961,0.9563488477180299,0.0018424988,3.1622776601683795,0.9981575012207031
wheat,1,14,5,yes,U-NET,0.9231035,0.9600144,0.9696859684153204,0.9505338078291815,0.9600143768532663,0.0016975403,3.605551275463989,0.9983024597167969
wheat,1,14,5,yes,U-NET,0.922944,0.9599281,0.9695099818511796,0.9505338078291815,0.9599281221922731,0.001701355,2.8284271247461903,0.9982986450195312
wheat,1,15,1,no,U-NET,0.9321126,0.9648636,0.9618989092026425,0.9678466532694389,0.9648636153490523,0.001739502,3.0,0.998260498046875
wheat,1,15,10,no,U-NET,0.9149453,0.95558375,0.9657973492945703,0.945583926329008,0.9555837563451777,0.0024032593,6.708203932499369,0.9975967407226562
wheat,1,15,10,yes,U-NET,0.9133018,0.95468664,0.9660048564490787,0.9436305288126133,0.954686617730096,0.0024490356,7.615773105863909,0.9975509643554688
wheat,1,15,10,yes,U-NET,0.9227144,0.95980394,0.9634472093350204,0.95618808427515,0.9598039215686275,0.0021896362,12.083045973594572,0.9978103637695312
wheat,1,15,10,yes,U-NET,0.9193203,0.9579644,0.9572304263025913,0.9586995953676574,0.9579644475426978,0.0023002625,12.083045973594572,0.9976997375488281
wheat,1,15,10,yes,U-NET,0.9160594,0.956191,0.9654387711563078,0.947118738663318,0.9561910128187069,0.0023727417,6.708203932499369,0.9976272583007812
wheat,1,15,10,yes,U-NET,0.9131724,0.95461595,0.9644026769186957,0.9450258127528952,0.95461592670895,0.002456665,8.94427190999916,0.9975433349609375
wheat,1,15,1,yes,U-NET,0.9361003,0.96699566,0.9647638098168949,0.9692379038491266,0.9669956816779766,0.0016326904,2.23606797749979,0.9983673095703125
wheat,1,15,1,yes,U-NET,0.92850775,0.9629287,0.9601905932984937,0.9656824857010357,0.9629287090558767,0.0018348694,2.8284271247461903,0.9981651306152344
