crop,collectiondate,genotype,augmented?,modelname,IoU,Precision,Recall,F1
sorghum,1,80,no,U-NET,0.96357405,0.9843238643801545,0.9785911826907434,0.981449152404105
sorghum,1,9,no,U-NET,0.77301913,0.8103638016555288,0.9437386232772391,0.8719805726936509
sorghum,1,9,no,U-NET,0.80397284,0.9993884259613179,0.8043685586832795,0.8913358446827007
sorghum,1,9,no,U-NET,0.8350069,0.9996883278790712,0.8352243136671379,0.9100858303861861
sorghum,2,01,no,U-NET,0.8874434,0.8997669557696466,0.9848010728654448,0.9403655903178828
sorghum,2,01,no,U-NET,0.8915406,0.901371719577806,0.9879141159524667,0.9426607967357458
sorghum,2,01,no,U-NET,0.8714549,0.8764788449969921,0.9934655378146485,0.9313127546808001
sorghum,2,02,no,U-NET,0.96100414,0.975868821986922,0.984396973146722,0.9801143466737786
sorghum,2,02,no,U-NET,0.9642141,0.9784157249210005,0.9851696057811573,0.9817810501424196
sorghum,2,02,no,U-NET,0.9662481,0.9790526462008612,0.9866453888795566,0.9828343536039491
sorghum,2,03,no,U-NET,0.93453735,0.9861633249791144,0.9469541238405615,0.9661610865283782
sorghum,2,03,no,U-NET,0.79540026,0.998748216936916,0.7961940125319099,0.8860422773466252
sorghum,2,03,no,U-NET,0.9443345,0.9896298892881138,0.9537725225225225,0.9713704070075839
sorghum,2,04,no,U-NET,0.9528249,0.9820859488169966,0.9696781883194279,0.975842629243133
sorghum,2,04,no,U-NET,0.95079863,0.9711687215789226,0.9784159070514334,0.9747788443440617
sorghum,2,04,no,U-NET,0.9229788,0.9938841737393909,0.9282508597074081,0.9599469575962147
sorghum,2,05,no,U-NET,0.9542983,0.9675988168862597,0.9858003835266186,0.976614800072372
sorghum,2,05,no,U-NET,0.96413255,0.97121019877953,0.9924981476907878,0.981738785232235
sorghum,2,05,no,U-NET,0.9516783,0.9782481873489457,0.9722521328584445,0.9752409438351611
sorghum,2,06,no,U-NET,0.8784207,0.9602022508563041,0.9116107652761002,0.9352758007117438
sorghum,2,06,no,U-NET,0.90547156,0.9329311115367427,0.9685169842584921,0.9503910505520236
sorghum,2,06,no,U-NET,0.9341406,0.9769628219571889,0.9551807961106047,0.9659490291728283
sorghum,2,07,no,U-NET,0.9212257,0.9973442007417922,0.9234911280235738,0.9589978976103204
